Feature ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
8fe9cd318b6a6970c1f4482c2daf2e71	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	-	-	-	-	-	-	-	Unassigned	-
5e91b6d7c2a9e524d261d3c70043f36c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_restrictus	-	-	-	-	-	-	-	Unassigned	-
5f3f074e3b176988376d9a4b44bf8a1c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum	-	-	-	-	-	-	-	Unassigned	-
9398946665c03dcb7da2d3102344267d	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
18d602e9f101012fb3fbbfd5fa083b80	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_flava	-	-	-	-	-	-	-	Unassigned	-
7778afade5996622e26a18009eaedf6c	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
4f260bc2ef3a44f4b84329315b818d1f	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma	-	-	-	-	-	-	-	Unassigned	-
28658a8c1f867731166274d4e8f40053	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	-	-	-	-	-	-	-	Unassigned	-
72109a41e7c3faa4fda1d6fd361de29e	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
3e7d542deefaf37a408cde300111cdb6	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
3040f4b934f1f22fbfcbc034f6956899	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
2bba4d5046d278a734d6e3c2b5e042a4	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malasseziaceae_gen_Incertae_sedis;s__Malasseziaceae_sp	-	-	-	-	-	-	-	Unassigned	-
b56d867fdead75b0f038039298323ace	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Wiesneriomycetaceae;g__Spissiomyces;s__Spissiomyces_sp	-	-	-	-	-	-	-	Unassigned	-
63382769578e69d27864ed9ea9849813	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Robillarda	-	-	-	-	-	-	-	Unassigned	-
a0309432a85626fe655a93790785a15f	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Leptobacillium;s__Leptobacillium_leptobactrum	-	-	-	-	-	-	-	Unassigned	-
7acbfd650c84fbd48421af57e33b1001	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Urocystidales;f__Fereydouniaceae;g__Fereydounia;s__Fereydounia_khargensis	-	-	-	-	-	-	-	Unassigned	-
9fbb5c16ee31c969ffd339cd6dd020cf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Phyllostictaceae;g__Phyllosticta;s__Phyllosticta_capitalensis	-	-	-	-	-	-	-	Unassigned	-
5b0a05fc95f396c1dfbde0d62429aacd	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phyllachorales;f__Phyllachoraceae;g__Phyllachora;s__Phyllachora_cynodontis	-	-	-	-	-	-	-	Unassigned	-
d84545cbfe07fd311725b0aab2734f8d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium;s__Ramichloridium_cucurbitae	-	-	-	-	-	-	-	Unassigned	-
cea4cc9a713e8bf0506b8afa42f4f477	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
d67c04b0ba30b9863954d9af5b467175	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	-	-	-	-	-	-	-	Unassigned	-
f29a81c2d4dd5bcec03e74756c39db05	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	-	-	-	-	-	-	-	Unassigned	-
af9767e653fad8d6f703d5936b5729e9	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
762386064afbbf5f224e48ded63e4649	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Wickerhamiella;s__Wickerhamiella_versatilis	-	-	-	-	-	-	-	Unassigned	-
a7953aa63900ecd6d8a4ab20929d39dc	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_ruber	-	-	-	-	-	-	-	Unassigned	-
8d71d17fa805ca485ac53f9902834b7f	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Dimorphiseta;s__Dimorphiseta_terrestris	-	-	-	-	-	-	-	Unassigned	-
34debbd5ed53fbc250e56a700aadfd32	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae	-	-	-	-	-	-	-	Unassigned	-
094ab56ff3649595706381ba18c74040	k__Fungi;p__Ascomycota;c__Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
5f20867ae859035ffc508a4e3b938816	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizales_fam_Incertae_sedis;g__Pezizales_gen_Incertae_sedis;s__Pezizales_sp	-	-	-	-	-	-	-	Unassigned	-
2fd203249c507f6d825ac8fc387d29bb	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
