sample_id,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
S1P2-2,AR,S1,S1P2,34.863,58.571,17.71106942,0,3,0,84,15,4.04,1.141,2.43,0,3.571,162.5367647,34.56790123,0,2,5.176603196,0.034,1.87,34.14,18.2929,31.38252757,7.06,7.062203514,0.13,1.19,9.5095,14.5635,0.6068125,52.90880461,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-3,AR,S1,S1P2,34.863,58.571,1.023002421,0,1.666666667,0,35,9,4.34,0.7652,1.3205,0,2.0857,238.9615385,26.5051117,0,0,5.687847159,0.034,3.89,42.55,10.9421,36.53585927,6.93,10.26823964,0.23,2.61,11.4234,23.058875,7.28175,41.00289966,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-4,AR,S1,S1P2,34.863,58.571,0.72316087,0,2.333333333,1,48,11,3.09,1.1698,1.396,0.0338,2.5996,165.4513889,34.38395415,0.024212034,2,5.916623258,0.035,2.3,39.24,17.055,41.56064461,7.04,13.10891621,0.29,3.49,12.0608,37.622375,10.922625,36.39416227,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-5,AR,S1,S1P2,34.863,58.571,NA,0,1.666666667,3,109,15,3.63,1.4066,3.1138,0.3327,4.8531,NA,35.00545957,0.106846939,NA,4.176222158,0.034,1.73,39.47,22.7515,30.72870939,7.24,9.392473456,0.18,1.84,10.1299,15.777125,9.709,52.52474316,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-6,AR,S1,S1P2,34.863,58.571,0.838842681,0,2,2,52,9,5.86,1.1715,1.617,0,2.7885,224.6927374,32.15831787,0,3,5.76554067,NA,1.88,37.92,20.1683,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-7,AR,S1,S1P2,34.863,58.571,1.130500759,0,1.333333333,2,121,16,4.02,1.133,2.5474,0.0624,3.7428,425.0434783,47.49941116,0.024495564,1,6.764544309,NA,1.88,39.85,21.1612,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-8,AR,S1,S1P2,34.863,58.571,27.29499663,0,1,1,64,14,2.61,1.1283,1.7328,0.0107,2.8718,158.8111888,36.93444137,0.006174977,2,6.0270244,NA,1.66,41.92,25.2232,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-9,AR,S1,S1P2,34.863,58.571,8.019932305,0,1.333333333,3,62,15,4.94,1.4439,2.2209,0.061,3.7258,132.8119181,27.91661038,0.027466342,1,7.04171922,NA,2.29,42.23,18.4807,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-10,AR,S1,S1P2,34.863,58.571,1.364694044,0,1,1,68,12,5.14,1.2593,1.0869,0.7021,3.0483,163.7606838,62.56325329,0.64596559,1,7.934470526,NA,2.79,43.64,15.6195,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-1,AR,S1,S1P3,34.863,58.571,0.770069016,0,1.333333333,1,63,10,3.91,1.1992,1.9703,0.1996,3.3691,136.625387,31.97482617,0.10130437,0,4.266753478,0.037,2.35,40.41,17.2253,33.82663848,7.2,8.880053015,0.18,1.77,10.0568,18.204375,2.42725,60.97409506,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-2,AR,S1,S1P3,34.863,58.571,0.803009477,0,2,4,82,16,5.36,1.8709,4.3086,1.187,7.3665,212.284264,19.03170403,0.275495521,4,1.768721145,0.033,1.72,41.34,24.0991,31.0318076,7.08,8.692216515,0.15,1.39,9.547,12.13625,0.6068125,55.59723476,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-3,AR,S1,S1P3,34.863,58.571,0.213414634,0,1,2,83,13,4.21,1.3948,2.1703,0.293,3.8581,130.0293255,38.2435608,0.135004377,0,3.838979992,0.036,1.82,41.04,22.5878,33.68623677,7.19,8.610210697,0.14,1.29,9.2259,16.99075,21.84525,56.74941911,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-4,AR,S1,S1P3,34.863,58.571,0.311850312,0,1,4,125,20,6.41,1.8038,4.9448,0.8391,7.5877,153.2424242,25.27908105,0.169693415,0,1.657875579,0.035,1.91,41.44,21.7126,29.27289896,7.24,7.099777108,0.24,2.44,10.3763,12.13625,3.640875,49.45225156,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
