sample_id,richness,shannon,evenness,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,cluster,Pathotroph,Pathotroph-Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Pathotroph-Symbiotroph,Saprotroph,Saprotroph-Symbiotroph,Symbiotroph,Unknowntroph,compartment,patho,sapro,symbio,patho_s,sapro_s,symbio_s,centroid_x,centroid_y,area,cpc1,cpc2,cpc3,dbMEM.1,dbMEM.2,dbMEM.3,dbMEM.4,dbMEM.5,dbMEM.6,dbMEM.7,dbMEM.8,dbMEM.9,dbMEM.10,dbMEM.11,dbMEM.12,dbMEM.13,gamma_richness,cluster_n
AH2P1-2,130,3.225717146956237,0.6627004245762087,CN,AH2,AH2P1,31.888,117.478,3.608551194,0,1,0,58.7,15,2.04,1.3486,1.3423,0,2.6909,329.1925466,43.73090963,0,7,5.557781853,0.031,2.98,29.19,9.8075,16.64831188,5.29,7.099550166,0.12,1.39,11.7363,18.204375,7.28175,86.32215074,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,28,13,14,17,20,1,4,33,CN-AH,47.666666666666664,31.666666666666668,17.666666666666668,0.3249211356466877,0.11396011396011399,0.27931034482758615,0.007648519433504131,-0.0018871274432275373,0.06911407655374306,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.2282752357930469,-1.2435714990878404,-1.292168492713162,1.3937276964439207,0.4743340696237876,-0.4106046904856436,-1.2761627237282718,1.349981963534052,1037,42
AH2P1-3,128,3.4641162018119136,0.7139518950595942,CN,AH2,AH2P1,31.888,117.478,1.087397168,0,1.333333333,0,79.6,12,3.59,1.3083,1.5784,0,2.8867,359.1555556,50.43081602,0,10,8.168986896,0.036,4.66,34.49,7.4021,19.46649001,5.23,6.644604503,0.14,1.59,11.2711,14.5635,3.640875,110.9020835,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,36,10,15,19,24,0,2,22,CN-AH,55.5,34,16.5,0.3990536277602524,0.12725546058879392,0.2551724137931034,0.01949485531333145,0.0036006546864375895,0.08014255970440429,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.22827523579304676,-1.2435714990878406,-1.2921684927131623,1.3937276964439211,0.4743340696237883,-0.4106046904856436,-1.2761627237282718,1.349981963534051,1037,42
AH2P1-4,185,2.4239789227392423,0.4643321267670243,CN,AH2,AH2P1,31.888,117.478,2.478297176,0,1,0,48.4,8,2.72,1.2493,1.2588,0,2.5081,322.4418605,38.44931681,0,28,6.887755922,0.03,3.99,36.69,9.2021,21.14727176,6.28,9.009009009,0.22,2.07,9.3242,15.777125,16.99075,42.53914546,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,47,17,23,23,32,3,5,35,CN-AH,74.66666666666667,49.666666666666664,25.666666666666668,0.5804416403785488,0.21652421652421652,0.4448275862068965,0.0190854232305506,0.003140153015632965,0.20792926558706135,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.22827523579304695,-1.2435714990878406,-1.2921684927131618,1.393727696443922,0.47433406962378843,-0.4106046904856438,-1.2761627237282713,1.349981963534052,1037,42
AH2P1-5,127,2.8587287426922146,0.5901359075671305,CN,AH2,AH2P1,31.888,117.478,2.227462647,0,1,1,102.6,14,3.93,1.3667,2.1115,0.0052,3.4834,341.1065574,48.59104902,0.002462704,8,9.381758986,0.033,4.28,38.09,8.8944,20.89981132,5.7,9.726544395,0.2,2.29,11.6144,14.5635,6.068125,41.00289966,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,25,10,12,15,25,0,5,35,CN-AH,41.5,34,16.5,0.2665615141955836,0.12725546058879392,0.2551724137931034,0.0016731682988833658,3.4997389335148654e-4,0.0582023788181893,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.22827523579304726,-1.2435714990878397,-1.292168492713162,1.3937276964439222,0.4743340696237882,-0.4106046904856441,-1.27616272372827,1.349981963534051,1037,42
AH2P2-1,179,3.4547138097286485,0.6659835876943646,CN,AH2,AH2P2,31.888,117.478,2.186492257,0,1,1,46.4,12,2.34,1.211,1.3494,0.0117,2.5721,241.2844037,34.38565288,0.00867052,4,5.228997538,0.036,3.63,35.3,9.7223,18.01183927,8.47,7.001461406,0.08,1.24,15.4621,36.40875,14.5635,50.60443591,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,47,17,16,28,32,2,6,31,CN-AH,74.83333333333333,46.833333333333336,26.333333333333332,0.5820189274447949,0.2003798670465337,0.4586206896551723,0.018167181844581784,-2.201750475727499e-4,0.20587552106032941,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.22827523579304695,-1.2435714990878404,-1.2921684927131618,1.3937276964439225,0.474334069623788,-0.41060469048564374,-1.2761627237282702,1.3499819635340555,1037,42
AH2P2-2,160,3.302025488736556,0.6506231331082841,CN,AH2,AH2P2,31.888,117.478,2.645769446,0,1.333333333,0,61.4,14,2.77,1.3268,1.6877,0,3.0145,219.7435897,36.38087338,0,1,7.21934382,0.033,3.81,36.65,9.6297,23.02749446,8.45,7.653660446,0.17,1.98,11.6129,20.631625,13.349875,20.26358137,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,39,18,15,23,26,0,3,36,CN-AH,64.5,40,19.5,0.4842271293375394,0.16144349477682812,0.3172413793103448,0.02271527666527677,0.004734396637888562,0.12254638756705283,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.2282752357930469,-1.2435714990878406,-1.2921684927131616,1.3937276964439222,0.4743340696237876,-0.41060469048564374,-1.27616272372827,1.349981963534053,1037,42
AH2P2-3,172,2.9987160280180634,0.582558376997893,CN,AH2,AH2P2,31.888,117.478,1.17239108,0,1,0,73,20,2.63,1.3553,2.1095,0,3.4648,214.72,34.60535672,0,46,5.883209143,0.033,3.28,38.7,11.7849,14.66954749,8.51,6.079860879,0.09,1.03,11.132,24.2725,24.2725,31.78542487,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,37,16,14,27,35,0,5,38,CN-AH,63.166666666666664,47.666666666666664,23.166666666666668,0.47160883280757093,0.2051282051282051,0.393103448275862,0.010642068231196183,0.0037292940241092703,0.15708312438052363,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.2282752357930465,-1.2435714990878401,-1.2921684927131614,1.3937276964439222,0.4743340696237873,-0.41060469048564446,-1.2761627237282724,1.3499819635340462,1037,42
AH2P2-4,155,2.5465836231613803,0.5049313837571062,CN,AH2,AH2P2,31.888,117.478,1.002832134,0,1,2,41.8,11,2.54,1.2353,1.2678,0.0173,2.5204,273.2075472,32.97050008,0.013645685,33,3.647290148,0.034,3.7,37.1,10.0127,17.11218174,8.51,7.022264075,0.09,1.06,12.4585,12.13625,12.13625,9.125799328,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,35,17,15,25,21,5,4,33,CN-AH,61,37,24,0.45110410094637227,0.14434947768281103,0.41034482758620683,0.008882721920474982,-0.005929293724828771,0.13399921760005543,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.22827523579304634,-1.2435714990878406,-1.2921684927131611,1.393727696443922,0.4743340696237867,-0.4106046904856448,-1.2761627237282722,1.349981963534047,1037,42
AH2P2-5,97,1.948192418913358,0.4258613119097437,CN,AH2,AH2P2,31.888,117.478,0.584376917,0,1,0,8.4,4,2.35,1.0498,1.0163,0,2.0661,117.7058824,8.265276001,0,3,7.336575838,0.036,3.62,37.62,10.3805,19.12385992,8.39,7.106699099,0.12,1.2,9.9503,24.2725,8.495375,15.65484398,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,26,9,9,12,20,1,3,17,CN-AH,39.5,28,12.5,0.2476340694006309,0.09306742640075974,0.17241379310344823,0.010208152849516199,0.003076677516946254,0.03541537395063441,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.2282752357930468,-1.2435714990878395,-1.2921684927131614,1.3937276964439227,0.474334069623786,-0.41060469048564546,-1.2761627237282729,1.349981963534041,1037,42
AH2P3-1,132,3.4602553820424555,0.7086618373840554,CN,AH2,AH2P3,31.888,117.478,6.822050288,0,0.333333333,6,127.6,18,3.33,2.1941,3.5138,0.2461,5.954,224.2369021,36.31396209,0.070038135,27,7.793346271,0.033,3.92,38.84,9.9207,27.37407514,8.07,8.651551313,0.18,2.35,12.9881,20.631625,4.8545,26.40856457,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,37,10,12,16,19,0,4,34,CN-AH,54,28,16,0.3848580441640379,0.09306742640075974,0.2448275862068965,0.01803447016043087,-2.3509533111888394e-4,0.06617606988373845,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.22827523579304676,-1.2435714990878404,-1.2921684927131611,1.3937276964439227,0.4743340696237859,-0.4106046904856459,-1.2761627237282713,1.349981963534037,1037,42
