sample_id,patho,sapro,symbio,patho_s,sapro_s,symbio_s,centroid_x,centroid_y,area
AH2P2-4,61,37,24,0.45110410094637227,0.14434947768281103,0.41034482758620683,0.008882721920474982,-0.005929293724828771,0.13399921760005543
AH2P2-5,39.5,28,12.5,0.2476340694006309,0.09306742640075974,0.17241379310344823,0.010208152849516199,0.003076677516946254,0.03541537395063441
AH2P3-1,54,28,16,0.3848580441640379,0.09306742640075974,0.2448275862068965,0.01803447016043087,-2.3509533111888394e-4,0.06617606988373845
AH2P3-2,70.33333333333333,38.333333333333336,19.333333333333332,0.5394321766561514,0.1519468186134853,0.31379310344827577,0.029979754055431216,0.004575221273087877,0.12943397606136897
AH2P3-3,58.5,35,19.5,0.4274447949526814,0.13295346628679963,0.3172413793103448,0.01565660983333453,-2.672232603440318e-4,0.10158988269947655
AH2P3-4,42.5,33.5,19,0.27602523659305994,0.12440645773979107,0.3068965517241379,-0.0018890595101777976,-0.004948796865909474,0.06808277250126965
AH2P3-5,34,17.5,10.5,0.19558359621451105,0.033238366571699915,0.13103448275862067,0.007361048462741073,-0.0016604699513812404,0.015798228887596546
AH3P1-1,36.166666666666664,22.166666666666668,13.666666666666666,0.21608832807570977,0.059829059829059845,0.19655172413793098,0.004464270763607761,-0.003586062796912809,0.029081306186704858
AH3P1-2,33.5,23.5,15,0.19085173501577288,0.0674264007597341,0.2241379310344827,-8.529029418371061e-4,-0.0061223677768527975,0.030639274081549546
AH3P1-3,41.5,28,11.5,0.2665615141955836,0.09306742640075974,0.15172413793103445,0.015665331484262388,0.005384771676850387,0.03436933752629579
AH3P1-4,46.666666666666664,38.166666666666664,16.166666666666668,0.31545741324921134,0.150997150997151,0.24827586206896549,0.008047347470186966,0.006262294437890936,0.07077271304698646
AH3P1-5,32.833333333333336,20.333333333333332,11.833333333333334,0.18454258675078866,0.04938271604938272,0.1586206896551724,0.004630895465356921,-0.00253356566456302,0.020013243902771472
AH3P2-1,77.66666666666667,57.166666666666664,33.166666666666664,0.608832807570978,0.25925925925925924,0.5999999999999999,0.0043263100080262245,-0.005138554699747901,0.29388605973734105
AH3P2-2,68.33333333333333,39.833333333333336,20.833333333333332,0.5205047318611987,0.16049382716049385,0.34482758620689646,0.02386699831091548,0.0029068121863998616,0.13785603938326524
AH3P2-3,38,26,16,0.23343848580441642,0.08167141500474835,0.2448275862068965,0.0014127663464292,-0.005116516607269455,0.041661385207397664
AH3P2-4,60.666666666666664,47.166666666666664,20.166666666666668,0.4479495268138801,0.20227920227920226,0.3310344827586207,0.014787899887128655,0.009161697089239822,0.13244083370078277
AH3P2-5,61.166666666666664,51.666666666666664,20.166666666666668,0.45268138801261826,0.2279202279202279,0.3310344827586207,0.014066130024197208,0.01382905238537334,0.14223508091853268
AH3P3-1,57.833333333333336,31.833333333333332,20.333333333333332,0.4211356466876972,0.11490978157644824,0.33448275862068955,0.013121875548367716,-0.003649576161153319,0.09859290404693519
AH3P3-2,49.666666666666664,39.166666666666664,17.166666666666668,0.34384858044164035,0.15669515669515668,0.2689655172413793,0.009434018690953255,0.005682804378732281,0.08162653696222996
AH3P3-3,79.16666666666667,63.666666666666664,32.166666666666664,0.6230283911671924,0.2962962962962963,0.579310344827586,0.005817043728536357,0.0024625728020347495,0.31054601719502944
AH3P3-4,64.5,43,26.5,0.4842271293375394,0.1785375118708452,0.4620689655172413,0.006554081459653396,-0.0058480639351968025,0.17004221698382568
AH3P3-5,73.33333333333333,57.333333333333336,23.333333333333332,0.5678233438485804,0.26020892687559355,0.396551724137931,0.021556486396806008,0.014780782257415569,0.20616181933349592
GD1P1-1,60.5,35.5,23,0.44637223974763407,0.13580246913580246,0.3896551724137931,0.010482095299013176,-0.005222646607535176,0.12447635959355405
GD1P1-2,59.833333333333336,53.833333333333336,25.333333333333332,0.4400630914826499,0.24026590693257363,0.43793103448275855,-0.0015301322184724127,0.003293541013488291,0.17479395151829707
GD1P1-3,53.166666666666664,45.166666666666664,27.666666666666668,0.3769716088328075,0.19088319088319086,0.48620689655172405,-0.010689696180739477,-0.011340511174541571,0.1507111375893279
GD1P1-4,104,57,49,0.8580441640378549,0.25830959164292494,0.9275862068965517,0.005164798246560288,-0.023676615802830436,0.5443642492690886
GD1P1-5,64,49,28,0.4794952681388012,0.21272554605887942,0.49310344827586194,7.824246837342668e-4,-0.005021756192338537,0.19197070948756495
GD1P2-1,56.166666666666664,35.666666666666664,26.166666666666668,0.40536277602523657,0.13675213675213674,0.4551724137931034,2.8479721188843946e-4,-0.01169218546263512,0.13085209937093314
GD1P2-2,88.66666666666667,57.166666666666664,39.166666666666664,0.7129337539432177,0.25925925925925924,0.7241379310344827,0.005814192159348243,-0.012781979654510972,0.3848775005086782
GD1P2-3,60,45.5,24.5,0.4416403785488959,0.19278252611585947,0.42068965517241375,0.004277886832908926,-0.0016974559624497027,0.15243592996953054
GD1P2-4,60.5,34.5,27,0.44637223974763407,0.13010446343779677,0.4724137931034482,0.0036609346468781303,-0.011780423936566625,0.14307197223500948
GD1P2-5,66,41.5,29.5,0.4984227129337539,0.16999050332383667,0.5241379310344827,0.0031455862908524863,-0.011380112937535417,0.1883899044057189
GD1P3-1,39.666666666666664,36.166666666666664,14.166666666666666,0.24921135646687695,0.1396011396011396,0.20689655172413787,0.0035805061818463854,0.007297551223110706,0.04989785240327034
GD1P3-2,26.5,21,13.5,0.1246056782334385,0.05318138651471986,0.19310344827586204,-0.005005908812791934,-0.007643736001263456,0.017735333377112503
GD1P3-3,49.333333333333336,49.333333333333336,18.333333333333332,0.3406940063091483,0.21462488129154797,0.293103448275862,0.0015477475888306914,0.013164001488554082,0.1021421934384894
GD1P3-4,51.833333333333336,37.333333333333336,27.833333333333332,0.3643533123028391,0.14624881291547961,0.489655172413793,-0.007968345360430213,-0.015988493060666617,0.13133500894113215
GD1P3-5,54,40,22,0.3848580441640379,0.16144349477682812,0.3689655172413792,0.003917833561588445,-0.002551274244584391,0.11418512798912607
GD2P1-1,84.33333333333333,58.833333333333336,34.833333333333336,0.6719242902208201,0.2687559354226021,0.6344827586206896,0.008601636750426604,-0.005135797446384018,0.33663664294676887
GD2P1-2,80.5,46.5,33,0.6356466876971609,0.19848053181386513,0.596551724137931,0.011012424643262516,-0.010224170702227309,0.2700975286826555
