sample_id,richness,shannon,evenness,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,cluster
AH1P3-1,183,3.3628022086029508,0.6455151448610282,CN,AH1,AH1P3,30.715,116.832,0.370981222,0,1,3,40.2,7,2.83,1.3621,1.2303,0.0286,2.621,269.9621212,32.67495733,0.023246363,48,7.386297304,0.034,4.87,35.63,7.3114,13.25965599,7.05,4.455347079,0.14,1.29,9.2492,12.13625,6.068125,67.5031397,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH1P3-2,122,2.8409261644023585,0.5913642213363994,CN,AH1,AH1P3,30.715,116.832,0.836076464,0,1,0,39,9,2.99,1.2694,1.3589,0,2.6283,245.0236967,28.69968357,0,1,7.602063172,0.032,4.44,37.76,8.5109,13.23597984,7.12,4.598241257,0.11,1.17,10.6657,10.922625,4.8545,72.1118771,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH1P3-3,143,1.3974126782546925,0.2815749398508793,CN,AH1,AH1P3,30.715,116.832,1.393004944,0,1,0,66.2,12,3.76,1.2462,1.6946,0,2.9408,226.8041237,39.06526614,0,3,6.331037846,0.032,2.89,41.22,14.2512,21.09489856,6.99,5.601523509,0.15,1.53,10.2652,12.13625,6.068125,107.4455305,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH1P3-4,118,1.64473797157163,0.34475931675233024,CN,AH1,AH1P3,30.715,116.832,0.912783371,0,1,0,38.8,10,2.52,1.134,1.2303,0,2.3643,206.6233766,31.53702349,0,52,7.899448615,0.031,2.85,39.12,13.7296,12.38265065,6.58,4.800486125,0.15,1.62,10.9186,14.5635,3.640875,37.93040807,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH1P3-5,91,3.45727194184164,0.7664330792938487,CN,AH1,AH1P3,30.715,116.832,2.085855361,0,1,2,106,20,2.66,1.3025,2.4198,0.5996,4.3219,275.177665,43.80527316,0.247789073,7,5.854945286,0.033,3.56,39.17,10.9995,11.7854333,6.88,5.957362024,0.81,1.78,2.1947,14.5635,6.068125,38.69853096,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH2P1-1,154,1.488657046747085,0.29554716199508085,CN,AH2,AH2P1,31.888,117.478,1.870564808,0,1.333333333,4,41.5,8,3.76,1.6814,1.4779,0.0243,3.1836,272.8755365,28.08038433,0.016442249,24,4.060215987,0.034,3.58,30.15,8.4214,21.53205841,5.19,7.845753553,0.16,1.49,9.4869,24.2725,18.204375,85.55402784,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P1-2,130,3.225717146956237,0.6627004245762087,CN,AH2,AH2P1,31.888,117.478,3.608551194,0,1,0,58.7,15,2.04,1.3486,1.3423,0,2.6909,329.1925466,43.73090963,0,7,5.557781853,0.031,2.98,29.19,9.8075,16.64831188,5.29,7.099550166,0.12,1.39,11.7363,18.204375,7.28175,86.32215074,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P1-3,128,3.4641162018119136,0.7139518950595942,CN,AH2,AH2P1,31.888,117.478,1.087397168,0,1.333333333,0,79.6,12,3.59,1.3083,1.5784,0,2.8867,359.1555556,50.43081602,0,10,8.168986896,0.036,4.66,34.49,7.4021,19.46649001,5.23,6.644604503,0.14,1.59,11.2711,14.5635,3.640875,110.9020835,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P1-4,185,2.4239789227392423,0.4643321267670243,CN,AH2,AH2P1,31.888,117.478,2.478297176,0,1,0,48.4,8,2.72,1.2493,1.2588,0,2.5081,322.4418605,38.44931681,0,28,6.887755922,0.03,3.99,36.69,9.2021,21.14727176,6.28,9.009009009,0.22,2.07,9.3242,15.777125,16.99075,42.53914546,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P1-5,127,2.8587287426922146,0.5901359075671305,CN,AH2,AH2P1,31.888,117.478,2.227462647,0,1,1,102.6,14,3.93,1.3667,2.1115,0.0052,3.4834,341.1065574,48.59104902,0.002462704,8,9.381758986,0.033,4.28,38.09,8.8944,20.89981132,5.7,9.726544395,0.2,2.29,11.6144,14.5635,6.068125,41.00289966,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
