"","Pathotroph","unkown","Saprotroph","Pathotroph-Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Pathotroph-Symbiotroph","Symbiotroph","Saprotroph-Symbiotroph"
"S2P3-1",8,13,11,11,9,5,2,1
"S2P3-2",9,14,14,9,11,4,0,2
"S2P3-3",7,7,11,10,8,3,3,0
"S2P3-4",12,13,16,16,15,5,4,2
"S2P3-5",9,11,9,15,10,5,0,0
"S3P1-1",12,8,16,10,11,6,3,0
"S3P1-2",14,8,15,9,9,4,1,1
"S3P1-3",9,14,18,10,13,4,2,0
"S3P1-4",14,16,20,17,13,6,2,3
"S3P1-5",22,23,25,26,16,13,4,4
"S3P2-1",11,14,18,10,12,5,1,1
"S3P2-2",14,13,15,19,14,4,2,0
"S3P2-3",12,25,26,20,13,5,3,0
"S3P2-4",23,25,37,24,22,11,4,3
"S3P2-5",8,7,17,6,10,6,0,1
"S3P3-1",14,20,31,18,14,5,1,2
"S3P3-2",10,15,13,10,14,5,0,5
"S3P3-3",14,21,16,9,10,7,2,1
"S3P3-4",15,22,30,18,19,12,0,2
"S3P3-5",16,17,23,9,15,7,1,0
"S4P1-1",16,19,17,15,14,5,1,1
"S4P1-2",13,15,12,13,11,6,1,0
"S4P1-3",10,8,15,13,8,5,0,1
"S4P1-4",10,13,13,8,9,9,0,3
"S4P1-5",9,12,14,8,9,7,1,1
"S4P2-1",10,14,17,13,12,4,0,0
"S4P2-2",19,20,22,16,18,18,1,2
"S4P2-3",9,14,12,16,10,6,1,0
"S4P2-4",15,14,14,7,10,7,1,0
"S4P2-5",13,16,13,14,10,6,2,0
"S4P3-1",17,14,20,13,12,7,1,2
"S4P3-2",18,18,18,17,21,10,2,4
"S4P3-3",10,12,17,14,10,8,1,0
"S4P3-4",13,18,21,14,16,7,1,0
"S4P3-5",17,13,18,9,15,5,0,0
"GD1P1-1",34,28,24,11,18,30,2,0
"GD1P1-2",32,37,33,20,22,21,4,7
"GD1P1-3",26,27,31,11,20,30,4,4
"GD1P1-4",49,47,38,23,15,77,3,5
"GD1P1-5",32,28,33,15,21,35,2,3
"GD1P2-1",26,22,21,14,17,35,1,4
"GD1P2-2",44,39,40,19,20,57,3,2
"GD1P2-3",33,27,31,16,18,26,5,1
"GD1P2-4",28,22,23,13,15,42,1,0
"GD1P2-5",33,21,29,15,15,41,4,0
"GD1P3-1",21,26,25,13,11,17,1,2
"GD1P3-2",13,17,15,4,12,15,2,0
"GD1P3-3",28,35,38,11,16,21,2,1
"GD1P3-4",22,30,26,11,13,40,2,3
"GD1P3-5",32,33,29,11,15,23,5,1
"GD2P1-1",42,27,38,23,25,45,3,2
"GD2P1-2",41,28,30,18,18,49,1,3
"GD2P1-3",34,19,24,12,18,29,0,1
"GD2P1-4",32,23,23,11,20,32,2,5
"GD2P1-5",39,31,26,13,16,36,3,0
"GD2P2-1",49,25,26,7,18,40,3,1
"GD2P2-2",35,26,27,15,16,29,3,0
"GD2P2-3",29,27,22,14,18,33,2,3
"GD2P2-4",34,21,15,11,13,26,4,1
"GD2P2-5",30,27,20,18,15,30,1,0
"GD2P3-1",26,20,15,10,17,29,0,2
"GD2P3-2",32,29,26,17,19,31,1,2
"GD2P3-3",26,16,13,11,14,15,1,2
"GD2P3-4",51,41,40,20,25,34,3,3
"GD2P3-5",29,19,27,9,16,19,4,1
"GD3P1-1",40,30,21,18,23,20,2,4
"GD3P1-2",39,27,26,19,18,20,5,1
"GD3P1-3",45,29,23,17,22,22,1,4
"GD3P1-4",28,22,20,11,16,26,3,3
"GD3P1-5",41,32,25,19,21,31,2,5
"GD3P2-1",62,38,38,25,35,31,5,4
"GD3P2-2",31,33,23,16,17,28,2,2
"GD3P2-3",40,34,33,23,23,23,0,2
"GD3P2-4",51,70,40,23,28,39,21,3
"GD3P2-5",39,35,16,13,14,23,1,2
"GD3P3-1",58,54,71,35,23,30,8,6
"GD3P3-2",33,26,24,16,21,21,3,2
"GD3P3-3",20,18,18,10,15,11,1,0
"GD3P3-4",45,45,43,23,26,15,7,4
"GD3P3-5",29,30,33,19,17,15,3,1
"JX1P1-2",26,20,19,16,17,23,5,0
"JX1P1-3",30,24,27,13,24,15,4,1
"JX1P1-5",13,17,9,5,13,5,2,0
"JX1P1-6",23,30,26,8,19,12,4,0
"JX1P1-8",24,28,28,17,23,36,5,2
"JX1P2-1",27,29,23,19,19,13,5,1
"JX1P2-2",42,41,34,20,32,28,2,1
"JX1P2-3",38,32,25,17,24,16,9,0
"JX1P2-4",32,23,41,13,24,24,2,1
"JX1P2-5",28,29,28,14,22,26,3,0
"JX1P3-1",24,23,29,13,20,18,4,0
"JX1P3-2",22,20,20,13,18,18,3,0
"JX1P3-3",26,21,27,15,18,13,2,1
"JX1P3-4",19,18,23,14,12,21,2,0
"JX1P3-5",20,20,21,5,17,16,2,1
"JX2P1-1",16,14,13,3,10,9,2,0
"JX2P1-2",20,22,16,8,13,8,5,0
"JX2P1-3",26,16,23,12,14,9,2,0
"JX2P1-4",16,16,14,4,10,5,3,0
"JX2P1-5",15,35,24,9,22,13,4,3
"JX2P2-1",25,21,23,7,17,10,3,0
"JX2P2-2",17,20,12,9,9,8,2,1
"JX2P2-3",6,13,11,3,7,7,2,0
"JX2P2-4",23,20,22,8,15,11,2,0
"JX2P2-5",15,20,16,11,16,9,6,0
"JX2P3-1",32,28,28,12,21,13,4,1
"JX2P3-2",27,20,25,7,17,9,4,0
"JX2P3-3",31,37,34,12,17,12,3,0
"JX2P3-4",16,14,21,10,12,8,4,1
"JX2P3-5",26,26,25,10,21,12,2,0
"JX3P1-1",13,29,16,5,13,12,3,1
"JX3P1-2",21,25,28,13,13,11,3,0
"JX3P1-3",35,40,30,16,18,25,5,1
"JX3P1-4",26,30,26,13,19,27,3,2
"JX3P1-5",19,33,26,14,18,14,3,1
"JX3P2-1",27,37,32,17,23,13,2,0
"JX3P2-2",23,30,37,18,21,13,3,0
"JX3P2-3",32,29,34,20,24,15,4,1
"JX3P2-4",28,25,35,16,22,14,2,1
"JX3P2-5",20,26,24,11,13,6,3,2
"JX3P3-1",37,44,44,21,13,13,7,4
"JX3P3-2",32,47,51,19,16,12,4,3
"JX3P3-3",22,39,37,22,14,11,6,2
"JX3P3-4",30,38,40,15,12,13,5,1
"JX3P3-5",25,36,34,16,10,12,5,1
"JX4P1-1",52,49,46,25,14,10,11,1
"JX4P1-2",37,42,48,23,18,15,6,5
"JX4P1-3",14,20,17,7,7,5,3,1
"JX4P1-4",47,55,53,35,16,18,7,4
"JX4P1-5",17,24,19,9,5,4,0,1
"JX4P2-1",17,12,11,7,7,6,2,4
"JX4P2-2",21,20,22,9,7,4,4,2
"JX4P2-3",25,28,26,12,12,8,3,1
"JX4P2-4",38,40,36,21,17,11,5,2
"JX4P2-5",24,26,30,11,10,9,3,1
"JX4P3-1",42,36,41,20,16,10,3,1
"JX4P3-2",19,18,14,7,4,3,3,1
"JX4P3-3",28,38,34,21,16,9,4,3
"JX4P3-4",23,49,30,15,9,10,4,2
"JX4P3-5",25,44,30,12,8,6,2,3
"JX5P1-1",19,28,29,17,10,8,4,1
"JX5P1-3",32,41,44,24,16,11,5,2
"JX5P1-4",13,27,19,7,5,5,3,1
"JX5P1-5",24,33,34,19,9,8,7,3
"JX5P2-1",15,22,21,10,7,8,3,2
"JX5P2-2",17,31,34,14,6,12,4,2
"JX5P2-3",24,37,42,25,10,12,3,4
"JX5P2-4",31,49,46,25,17,18,6,2
"JX5P2-5",24,34,27,5,9,4,7,2
"JX5P3-1",22,38,36,16,14,7,4,2
"JX5P3-2",28,52,47,19,13,16,8,4
"JX5P3-3",15,29,26,10,9,14,4,1
"JX5P3-4",24,40,36,15,11,14,7,2
"JX5P3-5",35,52,49,23,12,14,4,5
"AH1P1-1",19,32,37,12,13,14,3,3
"AH1P1-2",15,22,19,11,8,3,4,2
"AH1P1-3",17,28,23,16,8,14,5,0
"AH1P1-4",18,20,23,9,4,10,3,2
"AH1P1-5",29,46,42,23,16,11,5,3
"AH1P2-1",22,27,31,13,8,22,4,3
"AH1P2-2",38,35,29,21,15,31,5,1
